id;url;latitude;longitude;condition;price;area_sqm;floor;total_floors;rooms;build_year
3792106;https://www.kv.ee/3792106;58.366467760147;26.737300013492;;420.0;68.4;3.0;5.0;3.0;
3792199;https://www.kv.ee/3792199;58.3778829;26.7039034;Heas korras;670.0;72.8;2.0;4.0;3.0;2003.0
3792225;https://www.kv.ee/3792225;58.365035;26.73939;Heas korras;399.0;42.6;5.0;5.0;2.0;1981.0
3792376;https://www.kv.ee/3792376;58.3479325;26.7248331;Uus;395.0;35.4;2.0;5.0;1.0;1982.0
3792480;https://www.kv.ee/3792480;58.38320909999999;26.7136409;Heas korras;340.0;47.0;2.0;2.0;2.0;1948.0
3792555;https://www.kv.ee/3792555;58.366405;26.748389;Uus;750.0;42.7;4.0;8.0;2.0;2025.0
3792578;https://www.kv.ee/3792578;58.38427;26.740441;Heas korras;680.0;60.3;2.0;5.0;3.0;2007.0
3792628;https://www.kv.ee/3792628;58.370868;26.712872;Renoveeritud;560.0;50.9;5.0;5.0;2.0;1970.0
3792699;https://www.kv.ee/3792699;58.36984039999999;26.7719854;Renoveeritud;450.0;64.8;3.0;5.0;3.0;1983.0
3792771;https://www.kv.ee/3792771;58.388318;26.708244;Heas korras;250.0;29.0;1.0;2.0;1.0;1977.0
3792772;https://www.kv.ee/3792772;58.376984;26.764935;Keskmine;300.0;64.4;3.0;9.0;3.0;1995.0
3792985;https://www.kv.ee/3792985;58.38153;26.702453;Heas korras;1200.0;120.0;3.0;4.0;5.0;1961.0
3793069;https://www.kv.ee/3793069;58.367686;26.726376;Heas korras;450.0;46.3;1.0;2.0;2.0;1977.0
3793101;https://www.kv.ee/3793101;58.389349;26.724375;Heas korras;450.0;30.5;;;1.0;
3793169;https://www.kv.ee/3793169;58.386326;26.732953;Heas korras;870.0;70.0;1.0;2.0;3.0;1977.0
3793172;https://www.kv.ee/3793172;58.374055;26.761575;San. remont tehtud;450.0;62.4;4.0;5.0;3.0;1975.0
3793364;https://www.kv.ee/3793364;58.35064370000001;26.7285663;Heas korras;320.0;27.8;3.0;3.0;1.0;
3793387;https://www.kv.ee/3793387;58.36346;26.720629;Renoveeritud;320.0;25.0;2.0;3.0;2.0;1996.0
3793493;https://www.kv.ee/3793493;58.3786209;26.7514322;;395.0;47.3;5.0;5.0;2.0;
3793555;https://www.kv.ee/3793555;58.377848;26.710826;Heas korras;850.0;83.0;2.0;3.0;4.0;
3793590;https://www.kv.ee/3793590;58.381914;26.7294166;Heas korras;395.0;34.0;4.0;5.0;1.0;2006.0
3793600;https://www.kv.ee/3793600;58.3872394;26.7313661;Keskmine;320.0;20.3;1.0;2.0;1.0;
3793619;https://www.kv.ee/3793619;58.383742250805;26.753692825991;Heas korras;340.0;46.4;2.0;5.0;2.0;1973.0
3793767;https://www.kv.ee/3793767;58.370789;26.737597;Uus;420.0;38.0;1.0;2.0;1.0;2022.0
3793777;https://www.kv.ee/3793777;58.387471;26.71848;Heas korras;650.0;63.0;2.0;3.0;3.0;
3793804;https://www.kv.ee/3793804;58.3679278;26.7263898;Heas korras;350.0;27.4;2.0;2.0;1.0;
3793886;https://www.kv.ee/3793886;58.349171;26.6858106;Uus;550.0;46.8;2.0;3.0;2.0;2022.0
3794011;https://www.kv.ee/3794011;58.3953255;26.7515771;;600.0;50.5;1.0;4.0;2.0;2020.0
3794043;https://www.kv.ee/3794043;58.39065;26.72646;Renoveeritud;385.0;23.0;2.0;2.0;1.0;
3794065;https://www.kv.ee/3794065;58.388233;26.737909;Heas korras;375.0;23.0;1.0;2.0;1.0;1947.0
3794177;https://www.kv.ee/3794177;58.372192;26.772478;Keskmine;400.0;49.1;1.0;5.0;2.0;1995.0
3794282;https://www.kv.ee/3794282;58.3770931;26.750738;Heas korras;390.0;44.0;1.0;5.0;2.0;1980.0
3794343;https://www.kv.ee/3794343;58.393978;26.719667;Uus;565.0;42.9;1.0;2.0;2.0;2024.0
3794589;https://www.kv.ee/3794589;58.388246;26.720063;Uus;650.0;36.7;1.0;3.0;2.0;2025.0
3794705;https://www.kv.ee/3794705;58.356739;26.688841;Heas korras;530.0;50.6;2.0;4.0;2.0;2017.0
3794842;https://www.kv.ee/3794842;58.3679278;26.7263898;Renoveeritud;350.0;27.4;2.0;2.0;1.0;
3794859;https://www.kv.ee/3794859;58.371939;26.719129;Uus;790.0;48.0;4.0;8.0;2.0;2022.0
3794873;https://www.kv.ee/3794873;58.3476096;26.6838934;Uus;599.0;49.7;3.0;4.0;2.0;2021.0
3794991;https://www.kv.ee/3794991;58.381864;26.729424;Heas korras;549.0;48.1;5.0;5.0;2.0;2006.0
3795119;https://www.kv.ee/3795119;58.367204;26.738019;Heas korras;450.0;46.8;5.0;5.0;2.0;1988.0
3795195;https://www.kv.ee/3795195;58.38823960000001;26.7378987;Renoveeritud;550.0;55.0;2.0;3.0;3.0;1938.0
3795323;https://www.kv.ee/3795323;58.388246;26.720063;Uus;650.0;42.0;1.0;3.0;2.0;2025.0
3795346;https://www.kv.ee/3795346;58.346938;26.726822;Renoveeritud;380.0;47.6;2.0;5.0;2.0;1983.0
3795473;https://www.kv.ee/3795473;58.353011;26.683651;Renoveeritud;435.0;43.1;3.0;5.0;2.0;
3795484;https://www.kv.ee/3795484;58.383513;26.759716;Uus;545.0;33.3;3.0;3.0;2.0;2022.0
3795579;https://www.kv.ee/3795579;58.383032;26.737796;Heas korras;500.0;46.0;3.0;5.0;2.0;2003.0
3795669;https://www.kv.ee/3795669;58.373569;26.724437;Heas korras;400.0;28.7;2.0;5.0;1.0;
3795736;https://www.kv.ee/3795736;58.355922;26.722995;Heas korras;375.0;39.2;1.0;4.0;2.0;1964.0
3795855;https://www.kv.ee/3795855;58.37395950000001;26.7340174;Renoveeritud;380.0;39.9;;;2.0;
3795871;https://www.kv.ee/3795871;58.3828986;26.7196815;Uus;450.0;17.8;4.0;4.0;1.0;2021.0
3795872;https://www.kv.ee/3795872;58.3820939;26.726796;Renoveeritud;270.0;15.0;1.0;3.0;1.0;1958.0
3795876;https://www.kv.ee/3795876;58.400264582007;26.718930778163;Valmis;350.0;65.2;2.0;3.0;3.0;
3795925;https://www.kv.ee/3795925;58.362316;26.73923;Heas korras;400.0;44.6;1.0;4.0;2.0;2006.0
3795956;https://www.kv.ee/3795956;58.375337;26.717766;Heas korras;850.0;69.6;3.0;4.0;3.0;1967.0
3796060;https://www.kv.ee/3796060;58.376549;26.717415;Keskmine;270.0;26.9;4.0;4.0;1.0;1961.0
3796167;https://www.kv.ee/3796167;58.3754509;26.6825683;Valmis;350.0;46.8;1.0;5.0;1.0;1985.0
3796212;https://www.kv.ee/3796212;58.36792;26.745224;Uus;530.0;32.0;5.0;6.0;2.0;
3796251;https://www.kv.ee/3796251;58.38684169999999;26.7305293;Heas korras;260.0;30.0;2.0;2.0;1.0;1938.0
3796268;https://www.kv.ee/3796268;58.3834876;26.7322675;Heas korras;480.0;46.3;5.0;5.0;2.0;2003.0
3796281;https://www.kv.ee/3796281;58.356815;26.690779;Heas korras;695.0;68.3;3.0;4.0;3.0;2015.0
3796304;https://www.kv.ee/3796304;58.3799552;26.7233533;Valmis;450.0;55.1;3.0;4.0;2.0;1950.0
3796306;https://www.kv.ee/3796306;58.3816348;26.7557959;;390.0;36.5;1.0;3.0;1.0;2006.0
3796503;https://www.kv.ee/3796503;58.4061487;26.7438408;Heas korras;650.0;79.2;4.0;4.0;3.0;2018.0
3796631;https://www.kv.ee/3796631;58.373746;26.765057;Heas korras;450.0;45.9;4.0;5.0;2.0;1977.0
3796706;https://www.kv.ee/3796706;58.3558208;26.724722;Heas korras;470.0;34.8;2.0;2.0;2.0;
3796710;https://www.kv.ee/3796710;58.372418;26.710528;Renoveeritud;370.0;32.0;3.0;3.0;2.0;
3796714;https://www.kv.ee/3796714;58.369925;26.717502;Renoveeritud;390.0;40.9;1.0;3.0;2.0;
3796861;https://www.kv.ee/3796861;58.3817549;26.7350961;Uus;650.0;49.6;4.0;5.0;2.0;2017.0
3796986;https://www.kv.ee/3796986;58.367477;26.760341;Uus;600.0;47.8;1.0;3.0;2.0;2020.0
3797205;https://www.kv.ee/3797205;58.37838499999999;26.7108691;Renoveeritud;590.0;70.0;1.0;2.0;3.0;
3797215;https://www.kv.ee/3797215;58.388233;26.737909;Heas korras;375.0;23.0;1.0;2.0;1.0;1947.0
3797244;https://www.kv.ee/3797244;58.3688348;26.7298012;Keskmine;540.0;83.1;1.0;2.0;4.0;1907.0
3797279;https://www.kv.ee/3797279;58.3641793;26.780756;Heas korras;300.0;46.1;6.0;6.0;2.0;1995.0
3797286;https://www.kv.ee/3797286;58.36622149999999;26.7380682;Heas korras;325.0;33.2;3.0;4.0;1.0;1990.0
3797430;https://www.kv.ee/3797430;58.3747683;26.7654273;Heas korras;430.0;46.7;4.0;5.0;2.0;1978.0
3797452;https://www.kv.ee/3797452;58.38534689999999;26.7002702;Renoveeritud;680.0;90.0;1.0;2.0;3.0;
3797532;https://www.kv.ee/3797532;58.3627713;26.7314839;Keskmine;300.0;30.1;1.0;5.0;1.0;1983.0
3797533;https://www.kv.ee/3797533;58.3674999;26.7292166;Keskmine;450.0;39.0;2.0;2.0;2.0;
3797535;https://www.kv.ee/3797535;58.379613;26.718678;Renoveeritud;640.0;47.0;;;2.0;2016.0
3797672;https://www.kv.ee/3797672;58.372776;26.777485;Renoveeritud;550.0;46.1;7.0;9.0;2.0;1995.0
3797693;https://www.kv.ee/3797693;58.3893495;26.728774934734;Keskmine;350.0;50.5;3.0;3.0;2.0;1958.0
3797775;https://www.kv.ee/3797775;58.373431;26.730037;Keskmine;280.0;25.0;1.0;2.0;1.0;1995.0
3797793;https://www.kv.ee/3797793;58.374972;26.691311;Heas korras;500.0;53.8;3.0;3.0;2.0;2006.0
3797846;https://www.kv.ee/3797846;58.367171;26.721497;Uus;550.0;31.3;2.0;3.0;2.0;2025.0
3797909;https://www.kv.ee/3797909;58.375338144039;26.765112975829;Heas korras;450.0;63.2;1.0;5.0;3.0;1978.0
3798019;https://www.kv.ee/3798019;58.375519;26.76287;Heas korras;350.0;46.3;2.0;5.0;2.0;1977.0
3798020;https://www.kv.ee/3798020;58.377244;26.766615;Heas korras;350.0;45.5;1.0;9.0;2.0;1986.0
3798021;https://www.kv.ee/3798021;58.3832779;26.7418638;Renoveeritud;250.0;15.0;1.0;2.0;1.0;1977.0
3798022;https://www.kv.ee/3798022;58.375794;26.714021;Uus;475.0;40.5;4.0;4.0;2.0;2021.0
3798024;https://www.kv.ee/3798024;58.369274;26.773206;Heas korras;350.0;46.4;3.0;5.0;2.0;1984.0
3798079;https://www.kv.ee/3798079;58.3659517;26.730672;Renoveeritud;350.0;32.0;2.0;2.0;1.0;1977.0
3798118;https://www.kv.ee/3798118;58.382787;26.755485;Heas korras;350.0;48.4;3.0;5.0;2.0;1995.0
3798150;https://www.kv.ee/3798150;58.371178507316;26.728220130566;Uus;720.0;47.0;3.0;3.0;2.0;2019.0
3798295;https://www.kv.ee/3798295;58.375843;26.718096;Heas korras;450.0;39.3;2.0;4.0;2.0;1962.0
3798331;https://www.kv.ee/3798331;58.370525;26.721807;Renoveeritud;390.0;19.0;2.0;3.0;1.0;1995.0
3798347;https://www.kv.ee/3798347;58.385343;26.709521;Renoveeritud;550.0;70.0;1.0;3.0;3.0;
3798355;https://www.kv.ee/3798355;58.382242;26.74155;Uus;340.0;18.9;1.0;3.0;1.0;1977.0
3798480;https://www.kv.ee/3798480;58.37918310000001;26.7518414;Renoveeritud;350.0;27.5;3.0;5.0;1.0;1970.0
3798486;https://www.kv.ee/3798486;58.35632099999999;26.7272238;Renoveeritud;390.0;45.0;3.0;5.0;2.0;1971.0
3798492;https://www.kv.ee/3798492;58.37862089999999;26.7514322;Renoveeritud;450.0;57.0;3.0;5.0;3.0;1977.0
3798538;https://www.kv.ee/3798538;58.3701146;26.7751646;Heas korras;480.0;20.6;2.0;2.0;1.0;
3798588;https://www.kv.ee/3798588;58.3782725;26.7642181;Renoveeritud;600.0;78.4;6.0;9.0;4.0;
3798599;https://www.kv.ee/3798599;58.369932159864;26.724700659284;Renoveeritud;350.0;36.2;1.0;2.0;2.0;1977.0
3798603;https://www.kv.ee/3798603;58.375463;26.714406;Renoveeritud;330.0;26.5;1.0;4.0;1.0;1961.0
3798810;https://www.kv.ee/3798810;58.37483;26.706523;Heas korras;400.0;54.2;3.0;4.0;2.0;2006.0
3798864;https://www.kv.ee/3798864;58.373207;26.731251;Renoveeritud;700.0;36.0;1.0;2.0;2.0;
